sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,conceptId,comment
372-Diagnostic Tests-Scoring test result-0.138,372-Diagnostic Tests-Scoring test result-0.138,3,,0.3454480767250061,APPROVED,0,
372-Diagnostic Tests-Scoring test result-ASSIGN SCORE,372-Diagnostic Tests-Scoring test result-ASSIGN SCORE,25,,0.3930354714393616,APPROVED,0,
372-Diagnostic Tests-Scoring test result-CVD RISK7%,372-Diagnostic Tests-Scoring test result-CVD RISK7%,1,,0.2926945984363556,APPROVED,0,
372-Diagnostic Tests-Scoring test result-FRAIMINGHA,372-Diagnostic Tests-Scoring test result-FRAIMINGHA,1,,0.3417511284351349,APPROVED,0,
372-Diagnostic Tests-Scoring test result-12.1,372-Diagnostic Tests-Scoring test result-12.1,3,,0.36215659976005554,APPROVED,0,
372-Diagnostic Tests-Scoring test result-HISBI,372-Diagnostic Tests-Scoring test result-HISBI,25,,0.34397202730178833,APPROVED,0,
372-Diagnostic Tests-Scoring test result-IPSS SHEET,372-Diagnostic Tests-Scoring test result-IPSS SHEET,1,,0.31862518191337585,APPROVED,0,
372-Diagnostic Tests-Scoring test result-AUD C,372-Diagnostic Tests-Scoring test result-AUD C,1,,0.3477756381034851,APPROVED,0,
372-Diagnostic Tests-Scoring test result-IPSS Q'NAIRE,372-Diagnostic Tests-Scoring test result-IPSS Q'NAIRE,3,,0.2604734003543854,APPROVED,0,
372-Diagnostic Tests-Scoring test result-0.014,372-Diagnostic Tests-Scoring test result-0.014,25,,0.35496100783348083,APPROVED,0,
372-Diagnostic Tests-Scoring test result-PHQ=9,372-Diagnostic Tests-Scoring test result-PHQ=9,1,,0.2847594916820526,APPROVED,0,
372-Diagnostic Tests-Scoring test result-ASTHMA U K,372-Diagnostic Tests-Scoring test result-ASTHMA U K,1,,0.32523688673973083,APPROVED,0,
372-Diagnostic Tests-Scoring test result-10.8,372-Diagnostic Tests-Scoring test result-10.8,3,,0.3641338646411896,APPROVED,0,
372-Diagnostic Tests-Scoring test result-17/30,372-Diagnostic Tests-Scoring test result-17/30,25,,0.3219447433948517,APPROVED,0,
372-Diagnostic Tests-Scoring test result-1,372-Diagnostic Tests-Scoring test result-1,1,,0.3871353268623352,APPROVED,0,
372-Diagnostic Tests-Scoring test result-JBS2 CHD RISK,372-Diagnostic Tests-Scoring test result-JBS2 CHD RISK,1,,0.27005434036254883,APPROVED,0,
372-Diagnostic Tests-Scoring test result-17/29,372-Diagnostic Tests-Scoring test result-17/29,3,,0.32318538427352905,APPROVED,0,
372-Diagnostic Tests-Scoring test result-% BHS,372-Diagnostic Tests-Scoring test result-% BHS,25,,0.3113025724887848,APPROVED,0,
372-Diagnostic Tests-Scoring test result-GAD - 17,372-Diagnostic Tests-Scoring test result-GAD - 17,1,,0.32954588532447815,APPROVED,0,
372-Diagnostic Tests-Scoring test result-20/20*50,372-Diagnostic Tests-Scoring test result-20/20*50,1,,0.28327828645706177,APPROVED,0,
372-Diagnostic Tests-Scoring test result-0.37,372-Diagnostic Tests-Scoring test result-0.37,24,,0.3585033714771271,APPROVED,0,
372-Diagnostic Tests-Scoring test result-ONLINE CAL,372-Diagnostic Tests-Scoring test result-ONLINE CAL,3,,0.3396814167499542,APPROVED,0,
372-Diagnostic Tests-Scoring test result-36 WEEK POST,372-Diagnostic Tests-Scoring test result-36 WEEK POST,1,,0.30882662534713745,APPROVED,0,
372-Diagnostic Tests-Scoring test result-DIAGNOSIS,372-Diagnostic Tests-Scoring test result-DIAGNOSIS,1,,0.3856094479560852,APPROVED,0,
372-Diagnostic Tests-Scoring test result-IPS,372-Diagnostic Tests-Scoring test result-IPS,24,,0.36401844024658203,APPROVED,0,
372-Diagnostic Tests-Scoring test result-1.2,372-Diagnostic Tests-Scoring test result-1.2,3,,0.3663487434387207,APPROVED,0,
372-Diagnostic Tests-Scoring test result-7= SX SCORE,372-Diagnostic Tests-Scoring test result-7= SX SCORE,1,,0.254197359085083,APPROVED,0,
372-Diagnostic Tests-Scoring test result-HAS-BLEDSCORE,372-Diagnostic Tests-Scoring test result-HAS-BLEDSCORE,1,,0.4491206407546997,APPROVED,0,
372-Diagnostic Tests-Scoring test result-VISION CALCUL,372-Diagnostic Tests-Scoring test result-VISION CALCUL,1,,0.0,APPROVED,0,
372-Diagnostic Tests-Scoring test result-AUDIT C,372-Diagnostic Tests-Scoring test result-AUDIT C,24,,0.34205177426338196,APPROVED,0,
372-Diagnostic Tests-Scoring test result-PHQ 9 QUESTIO,372-Diagnostic Tests-Scoring test result-PHQ 9 QUESTIO,3,,0.32560285925865173,APPROVED,0,
372-Diagnostic Tests-Scoring test result-QRISK',372-Diagnostic Tests-Scoring test result-QRISK',1,,0.30102038383483887,APPROVED,0,
372-Diagnostic Tests-Scoring test result-ORISK SCORE,372-Diagnostic Tests-Scoring test result-ORISK SCORE,1,,0.33662399649620056,APPROVED,0,
372-Diagnostic Tests-Scoring test result-44,372-Diagnostic Tests-Scoring test result-44,24,,0.36636126041412354,APPROVED,0,
372-Diagnostic Tests-Scoring test result-MINCOG,372-Diagnostic Tests-Scoring test result-MINCOG,3,,0.3632891774177551,APPROVED,0,
372-Diagnostic Tests-Scoring test result-323321321,372-Diagnostic Tests-Scoring test result-323321321,1,,0.31570345163345337,APPROVED,0,
372-Diagnostic Tests-Scoring test result-20DAY/43YEARS,372-Diagnostic Tests-Scoring test result-20DAY/43YEARS,1,,0.24261565506458282,APPROVED,0,
372-Diagnostic Tests-Scoring test result-CHADS 2,372-Diagnostic Tests-Scoring test result-CHADS 2,24,,0.36179134249687195,APPROVED,0,
372-Diagnostic Tests-Scoring test result-0.56,372-Diagnostic Tests-Scoring test result-0.56,3,,0.3565465807914734,APPROVED,0,
372-Diagnostic Tests-Scoring test result-FAMINGHAM,372-Diagnostic Tests-Scoring test result-FAMINGHAM,1,,0.33751916885375977,APPROVED,0,
372-Diagnostic Tests-Scoring test result-5-7%,372-Diagnostic Tests-Scoring test result-5-7%,1,,0.3214018940925598,APPROVED,0,
372-Diagnostic Tests-Scoring test result-1=3 2=0 3=1,372-Diagnostic Tests-Scoring test result-1=3 2=0 3=1,24,,0.23183384537696838,APPROVED,0,
372-Diagnostic Tests-Scoring test result-ON-LINE,372-Diagnostic Tests-Scoring test result-ON-LINE,3,,0.3371424078941345,APPROVED,0,
372-Diagnostic Tests-Scoring test result-26.6,372-Diagnostic Tests-Scoring test result-26.6,1,,0.34716928005218506,APPROVED,0,
372-Diagnostic Tests-Scoring test result-8X1.5,372-Diagnostic Tests-Scoring test result-8X1.5,1,,0.3076476454734802,APPROVED,0,
372-Diagnostic Tests-Scoring test result-0.009,372-Diagnostic Tests-Scoring test result-0.009,24,,0.35642656683921814,APPROVED,0,
372-Diagnostic Tests-Scoring test result-ADIT C,372-Diagnostic Tests-Scoring test result-ADIT C,3,,0.36890870332717896,APPROVED,0,
372-Diagnostic Tests-Scoring test result-AUDIOT C,372-Diagnostic Tests-Scoring test result-AUDIOT C,1,,0.3392358422279358,APPROVED,0,
372-Diagnostic Tests-Scoring test result-0.34,372-Diagnostic Tests-Scoring test result-0.34,24,,0.3551865220069885,APPROVED,0,
372-Diagnostic Tests-Scoring test result-AS PER ADSGUI,372-Diagnostic Tests-Scoring test result-AS PER ADSGUI,1,,0.30405205488204956,APPROVED,0,
372-Diagnostic Tests-Scoring test result-CVD RISK 19%,372-Diagnostic Tests-Scoring test result-CVD RISK 19%,3,,0.35340914130210876,APPROVED,0,
372-Diagnostic Tests-Scoring test result-0.9,372-Diagnostic Tests-Scoring test result-0.9,1,,0.36350828409194946,APPROVED,0,
372-Diagnostic Tests-Scoring test result-JBS 2,372-Diagnostic Tests-Scoring test result-JBS 2,24,,0.32708728313446045,APPROVED,0,
372-Diagnostic Tests-Scoring test result-DEMENTIA MENT,372-Diagnostic Tests-Scoring test result-DEMENTIA MENT,1,,0.3547784388065338,APPROVED,0,
372-Diagnostic Tests-Scoring test result-9 QS,372-Diagnostic Tests-Scoring test result-9 QS,3,,0.3181023895740509,APPROVED,0,
372-Diagnostic Tests-Scoring test result-48 IS BEST,372-Diagnostic Tests-Scoring test result-48 IS BEST,1,,0.3272295594215393,APPROVED,0,
372-Diagnostic Tests-Scoring test result-1=2 2=0 3=0,372-Diagnostic Tests-Scoring test result-1=2 2=0 3=0,23,,0.23698881268501282,APPROVED,0,
372-Diagnostic Tests-Scoring test result-8 SX,372-Diagnostic Tests-Scoring test result-8 SX,3,,0.3355247676372528,APPROVED,0,
372-Diagnostic Tests-Scoring test result-20/DAY/YEARS,372-Diagnostic Tests-Scoring test result-20/DAY/YEARS,1,,0.29282769560813904,APPROVED,0,
372-Diagnostic Tests-Scoring test result-15.7,372-Diagnostic Tests-Scoring test result-15.7,1,,0.3536056876182556,APPROVED,0,
372-Diagnostic Tests-Scoring test result-RISKDISK,372-Diagnostic Tests-Scoring test result-RISKDISK,23,,0.3231108784675598,APPROVED,0,
372-Diagnostic Tests-Scoring test result-SX = 5,372-Diagnostic Tests-Scoring test result-SX = 5,1,,0.2908828556537628,APPROVED,0,
372-Diagnostic Tests-Scoring test result-EXAMINATION,372-Diagnostic Tests-Scoring test result-EXAMINATION,3,,0.347540944814682,APPROVED,0,
372-Diagnostic Tests-Scoring test result-7,372-Diagnostic Tests-Scoring test result-7,23,,0.37692776322364807,APPROVED,0,
372-Diagnostic Tests-Scoring test result-QRISK 3 CALC,372-Diagnostic Tests-Scoring test result-QRISK 3 CALC,1,,0.29891154170036316,APPROVED,0,
372-Diagnostic Tests-Scoring test result-ON-LINE CALC,372-Diagnostic Tests-Scoring test result-ON-LINE CALC,1,,0.33104705810546875,APPROVED,0,
372-Diagnostic Tests-Scoring test result-0.008,372-Diagnostic Tests-Scoring test result-0.008,23,,0.35744696855545044,APPROVED,0,
372-Diagnostic Tests-Scoring test result-2.3 LAB,372-Diagnostic Tests-Scoring test result-2.3 LAB,1,,0.34469911456108093,APPROVED,0,
372-Diagnostic Tests-Scoring test result-RISC CALC,372-Diagnostic Tests-Scoring test result-RISC CALC,3,,0.3474677503108978,APPROVED,0,
372-Diagnostic Tests-Scoring test result-9.38,372-Diagnostic Tests-Scoring test result-9.38,1,,0.3310023248195648,APPROVED,0,
372-Diagnostic Tests-Scoring test result-/15,372-Diagnostic Tests-Scoring test result-/15,3,,0.33865731954574585,APPROVED,0,
372-Diagnostic Tests-Scoring test result-OXFORD KNEE,372-Diagnostic Tests-Scoring test result-OXFORD KNEE,23,,0.4887065887451172,APPROVED,0,
372-Diagnostic Tests-Scoring test result-8 OUR OF 25,372-Diagnostic Tests-Scoring test result-8 OUR OF 25,1,,0.3244192600250244,APPROVED,0,
372-Diagnostic Tests-Scoring test result-14.76,372-Diagnostic Tests-Scoring test result-14.76,1,,0.33855146169662476,APPROVED,0,
372-Diagnostic Tests-Scoring test result-DES,372-Diagnostic Tests-Scoring test result-DES,3,,0.38300615549087524,APPROVED,0,
372-Diagnostic Tests-Scoring test result-%[E-MIMS],372-Diagnostic Tests-Scoring test result-%[E-MIMS],23,,0.26778915524482727,APPROVED,0,
372-Diagnostic Tests-Scoring test result-PHQ 9QUESTION,372-Diagnostic Tests-Scoring test result-PHQ 9QUESTION,1,,0.2899341285228729,APPROVED,0,
372-Diagnostic Tests-Scoring test result-JJBSC,372-Diagnostic Tests-Scoring test result-JJBSC,1,,0.2957560122013092,APPROVED,0,
372-Diagnostic Tests-Scoring test result-8,372-Diagnostic Tests-Scoring test result-8,3,,0.3782368004322052,APPROVED,0,
372-Diagnostic Tests-Scoring test result-SHEET,372-Diagnostic Tests-Scoring test result-SHEET,22,,0.36229270696640015,APPROVED,0,
372-Diagnostic Tests-Scoring test result-0.215,372-Diagnostic Tests-Scoring test result-0.215,1,,0.3470650613307953,APPROVED,0,
372-Diagnostic Tests-Scoring test result-ON SCREEN TES,372-Diagnostic Tests-Scoring test result-ON SCREEN TES,1,,0.3579275906085968,APPROVED,0,
372-Diagnostic Tests-Scoring test result-CIT,372-Diagnostic Tests-Scoring test result-CIT,3,,0.3810224235057831,APPROVED,0,
372-Diagnostic Tests-Scoring test result-PH-Q9,372-Diagnostic Tests-Scoring test result-PH-Q9,22,,0.3084040880203247,APPROVED,36714983,
372-Diagnostic Tests-Scoring test result-JBS CVS RISK,372-Diagnostic Tests-Scoring test result-JBS CVS RISK,1,,0.3337249159812927,APPROVED,0,
372-Diagnostic Tests-Scoring test result-5DAY/55YEARS,372-Diagnostic Tests-Scoring test result-5DAY/55YEARS,1,,0.24392859637737274,APPROVED,0,
372-Diagnostic Tests-Scoring test result-AIDIT C,372-Diagnostic Tests-Scoring test result-AIDIT C,3,,0.37470513582229614,APPROVED,0,
372-Diagnostic Tests-Scoring test result-FRAM JBS,372-Diagnostic Tests-Scoring test result-FRAM JBS,22,,0.31978777050971985,APPROVED,0,
372-Diagnostic Tests-Scoring test result-I PSS,372-Diagnostic Tests-Scoring test result-I PSS,1,,0.3455538749694824,APPROVED,0,
372-Diagnostic Tests-Scoring test result-MAJOR (ICD-10,372-Diagnostic Tests-Scoring test result-MAJOR (ICD-10,1,,0.28567439317703247,APPROVED,0,
372-Diagnostic Tests-Scoring test result-OKS,372-Diagnostic Tests-Scoring test result-OKS,3,,0.34951403737068176,APPROVED,0,
372-Diagnostic Tests-Scoring test result-DIADEM TOOL,372-Diagnostic Tests-Scoring test result-DIADEM TOOL,22,,0.3610367774963379,APPROVED,0,
"372-Diagnostic Tests-Scoring test result-2,2,2,2,2,3,2","372-Diagnostic Tests-Scoring test result-2,2,2,2,2,3,2",1,,0.30822551250457764,APPROVED,0,
372-Diagnostic Tests-Scoring test result-30 POINT,372-Diagnostic Tests-Scoring test result-30 POINT,3,,0.35092848539352417,APPROVED,0,
372-Diagnostic Tests-Scoring test result-FROM PHQ 9,372-Diagnostic Tests-Scoring test result-FROM PHQ 9,1,,0.3016059696674347,APPROVED,0,
372-Diagnostic Tests-Scoring test result-0.36,372-Diagnostic Tests-Scoring test result-0.36,22,,0.3546406328678131,APPROVED,0,
372-Diagnostic Tests-Scoring test result-#2JD0,372-Diagnostic Tests-Scoring test result-#2JD0,1,,0.2518303394317627,APPROVED,0,
372-Diagnostic Tests-Scoring test result-0.135,372-Diagnostic Tests-Scoring test result-0.135,3,,0.3487817645072937,APPROVED,0,
372-Diagnostic Tests-Scoring test result-<15%,372-Diagnostic Tests-Scoring test result-<15%,22,,0.3017256557941437,APPROVED,0,
372-Diagnostic Tests-Scoring test result-14/24,372-Diagnostic Tests-Scoring test result-14/24,1,,0.3233981728553772,APPROVED,0,
372-Diagnostic Tests-Scoring test result-MS,372-Diagnostic Tests-Scoring test result-MS,1,,0.3697786331176758,APPROVED,0,
372-Diagnostic Tests-Scoring test result-43534,372-Diagnostic Tests-Scoring test result-43534,3,,0.32586583495140076,APPROVED,0,
372-Diagnostic Tests-Scoring test result-31,372-Diagnostic Tests-Scoring test result-31,22,,0.36581480503082275,APPROVED,0,
372-Diagnostic Tests-Scoring test result-43500,372-Diagnostic Tests-Scoring test result-43500,1,,0.34694740176200867,APPROVED,0,
372-Diagnostic Tests-Scoring test result-FAMMINGHAM,372-Diagnostic Tests-Scoring test result-FAMMINGHAM,1,,0.32925739884376526,APPROVED,0,
372-Diagnostic Tests-Scoring test result-P,372-Diagnostic Tests-Scoring test result-P,3,,0.3890269100666046,APPROVED,0,
372-Diagnostic Tests-Scoring test result-0.017,372-Diagnostic Tests-Scoring test result-0.017,22,,0.3531840443611145,APPROVED,0,
372-Diagnostic Tests-Scoring test result-MOSTYL PLEASD,372-Diagnostic Tests-Scoring test result-MOSTYL PLEASD,1,,0.3252505958080292,APPROVED,0,
372-Diagnostic Tests-Scoring test result-8,372-Diagnostic Tests-Scoring test result-8,22,,0.3782368004322052,APPROVED,0,
372-Diagnostic Tests-Scoring test result-GENEROUS,372-Diagnostic Tests-Scoring test result-GENEROUS,1,,0.3473708927631378,APPROVED,0,
372-Diagnostic Tests-Scoring test result-EMIM/FRAM,372-Diagnostic Tests-Scoring test result-EMIM/FRAM,3,,0.29720935225486755,APPROVED,0,
372-Diagnostic Tests-Scoring test result-ASTHMA CAT,372-Diagnostic Tests-Scoring test result-ASTHMA CAT,1,,0.37451714277267456,APPROVED,0,
372-Diagnostic Tests-Scoring test result-19.1,372-Diagnostic Tests-Scoring test result-19.1,1,,0.3462919592857361,APPROVED,0,
372-Diagnostic Tests-Scoring test result-37,372-Diagnostic Tests-Scoring test result-37,22,,0.3734532296657562,APPROVED,0,
372-Diagnostic Tests-Scoring test result-SELF REPORTED,372-Diagnostic Tests-Scoring test result-SELF REPORTED,3,,0.43205517530441284,APPROVED,0,
372-Diagnostic Tests-Scoring test result-A\\UDIT-C,372-Diagnostic Tests-Scoring test result-A\\UDIT-C,1,,0.26418057084083557,APPROVED,0,
372-Diagnostic Tests-Scoring test result-FRAMINGHAM 10,372-Diagnostic Tests-Scoring test result-FRAMINGHAM 10,22,,0.3463241755962372,APPROVED,0,
372-Diagnostic Tests-Scoring test result-QUETIONARE,372-Diagnostic Tests-Scoring test result-QUETIONARE,1,,0.34172406792640686,APPROVED,0,
372-Diagnostic Tests-Scoring test result-HAS,372-Diagnostic Tests-Scoring test result-HAS,3,,0.37528473138809204,APPROVED,0,
372-Diagnostic Tests-Scoring test result-MMSE EXAMINAT,372-Diagnostic Tests-Scoring test result-MMSE EXAMINAT,1,,0.32418978214263916,APPROVED,0,
372-Diagnostic Tests-Scoring test result-FAST 4,372-Diagnostic Tests-Scoring test result-FAST 4,22,,0.3518696427345276,APPROVED,0,
372-Diagnostic Tests-Scoring test result-HAD QEST,372-Diagnostic Tests-Scoring test result-HAD QEST,1,,0.30542150139808655,APPROVED,0,
372-Diagnostic Tests-Scoring test result-32 WEEK POST,372-Diagnostic Tests-Scoring test result-32 WEEK POST,3,,0.3183549642562866,APPROVED,0,
372-Diagnostic Tests-Scoring test result-BASELINE DATE,372-Diagnostic Tests-Scoring test result-BASELINE DATE,1,,0.3438132107257843,APPROVED,0,
372-Diagnostic Tests-Scoring test result-ACT/BLF,372-Diagnostic Tests-Scoring test result-ACT/BLF,22,,0.3212035596370697,APPROVED,0,
372-Diagnostic Tests-Scoring test result-QRISK 2017,372-Diagnostic Tests-Scoring test result-QRISK 2017,1,,0.30357134342193604,APPROVED,0,
372-Diagnostic Tests-Scoring test result-JBS POINTS,372-Diagnostic Tests-Scoring test result-JBS POINTS,3,,0.3108392059803009,APPROVED,0,
372-Diagnostic Tests-Scoring test result-UKPDS,372-Diagnostic Tests-Scoring test result-UKPDS,22,,0.3106602728366852,APPROVED,0,
372-Diagnostic Tests-Scoring test result-6% X1.5,372-Diagnostic Tests-Scoring test result-6% X1.5,1,,0.2873675227165222,APPROVED,0,
372-Diagnostic Tests-Scoring test result-EALING HOSP,372-Diagnostic Tests-Scoring test result-EALING HOSP,1,,0.34160006046295166,APPROVED,0,
372-Diagnostic Tests-Scoring test result-43811,372-Diagnostic Tests-Scoring test result-43811,3,,0.32371142506599426,APPROVED,0,
372-Diagnostic Tests-Scoring test result-52,372-Diagnostic Tests-Scoring test result-52,22,,0.36129412055015564,APPROVED,0,
372-Diagnostic Tests-Scoring test result-AUDIT C2,372-Diagnostic Tests-Scoring test result-AUDIT C2,1,,0.32778027653694153,APPROVED,0,
372-Diagnostic Tests-Scoring test result-4/12 AGO,372-Diagnostic Tests-Scoring test result-4/12 AGO,1,,0.3156108558177948,APPROVED,0,
372-Diagnostic Tests-Scoring test result-/4,372-Diagnostic Tests-Scoring test result-/4,3,,0.3365669250488281,APPROVED,0,
372-Diagnostic Tests-Scoring test result-RISK CALC,372-Diagnostic Tests-Scoring test result-RISK CALC,22,,0.3386148512363434,APPROVED,0,
372-Diagnostic Tests-Scoring test result-PRIME MD,372-Diagnostic Tests-Scoring test result-PRIME MD,1,,0.3413826823234558,APPROVED,0,
372-Diagnostic Tests-Scoring test result-58.7,372-Diagnostic Tests-Scoring test result-58.7,1,,0.3345111012458801,APPROVED,0,
372-Diagnostic Tests-Scoring test result-10 YEAR,372-Diagnostic Tests-Scoring test result-10 YEAR,3,,0.3374890089035034,APPROVED,0,
372-Diagnostic Tests-Scoring test result-ASSIGN ONLINE,372-Diagnostic Tests-Scoring test result-ASSIGN ONLINE,21,,0.3296414911746979,APPROVED,0,
372-Diagnostic Tests-Scoring test result-SYSTOLIC BASI,372-Diagnostic Tests-Scoring test result-SYSTOLIC BASI,1,,0.38746336102485657,APPROVED,0,
372-Diagnostic Tests-Scoring test result-COMPUTERISED,372-Diagnostic Tests-Scoring test result-COMPUTERISED,1,,0.3979646861553192,APPROVED,0,
372-Diagnostic Tests-Scoring test result-17.5,372-Diagnostic Tests-Scoring test result-17.5,3,,0.3572710454463959,APPROVED,0,
372-Diagnostic Tests-Scoring test result-24/24,372-Diagnostic Tests-Scoring test result-24/24,3,,0.32729968428611755,APPROVED,0,
372-Diagnostic Tests-Scoring test result-E-MIMS,372-Diagnostic Tests-Scoring test result-E-MIMS,21,,0.3295792043209076,APPROVED,0,
372-Diagnostic Tests-Scoring test result-MMS EXAM,372-Diagnostic Tests-Scoring test result-MMS EXAM,1,,0.33131149411201477,APPROVED,0,
372-Diagnostic Tests-Scoring test result-30DAY/62YEARS,372-Diagnostic Tests-Scoring test result-30DAY/62YEARS,1,,0.24415458738803864,APPROVED,0,
372-Diagnostic Tests-Scoring test result-38,372-Diagnostic Tests-Scoring test result-38,21,,0.36937636137008667,APPROVED,0,
372-Diagnostic Tests-Scoring test result-1=1 2=0 2=3,372-Diagnostic Tests-Scoring test result-1=1 2=0 2=3,1,,0.24110527336597443,APPROVED,0,
372-Diagnostic Tests-Scoring test result-24 WEEK POST,372-Diagnostic Tests-Scoring test result-24 WEEK POST,3,,0.31347090005874634,APPROVED,0,
372-Diagnostic Tests-Scoring test result-TOTAL/HDL CHO,372-Diagnostic Tests-Scoring test result-TOTAL/HDL CHO,1,,0.46051669120788574,APPROVED,0,
372-Diagnostic Tests-Scoring test result-0.028,372-Diagnostic Tests-Scoring test result-0.028,21,,0.3539404571056366,APPROVED,0,
372-Diagnostic Tests-Scoring test result-0.003,372-Diagnostic Tests-Scoring test result-0.003,3,,0.36019420623779297,APPROVED,0,
372-Diagnostic Tests-Scoring test result-30 POINT TEST,372-Diagnostic Tests-Scoring test result-30 POINT TEST,1,,0.35368379950523376,APPROVED,0,
372-Diagnostic Tests-Scoring test result-622N,372-Diagnostic Tests-Scoring test result-622N,1,,0.32203418016433716,APPROVED,0,
372-Diagnostic Tests-Scoring test result-2.5,372-Diagnostic Tests-Scoring test result-2.5,21,,0.3713846802711487,APPROVED,0,
372-Diagnostic Tests-Scoring test result-43640,372-Diagnostic Tests-Scoring test result-43640,3,,0.32878679037094116,APPROVED,0,
372-Diagnostic Tests-Scoring test result-HAD QUES,372-Diagnostic Tests-Scoring test result-HAD QUES,1,,0.34960874915122986,APPROVED,0,
372-Diagnostic Tests-Scoring test result-& MEDCAL,372-Diagnostic Tests-Scoring test result-& MEDCAL,1,,0.2828730046749115,APPROVED,0,
372-Diagnostic Tests-Scoring test result-1=3 2=0 3=0,372-Diagnostic Tests-Scoring test result-1=3 2=0 3=0,21,,0.23598378896713257,APPROVED,0,
