count,enttype,category,description,data,data_fields,source_value,target_concept_id
103378,78,Maternity,Stages of labour,2nd Stage,6,78-Maternity-Stages of labour-2nd Stage,4014453
103378,78,Maternity,Stages of labour,1st Stage,6,78-Maternity-Stages of labour-1st Stage,4015420
401765,77,Maternity,Parity status,Number of miscarriages,2,77-Maternity-Parity status-Number of miscarriages,0
401765,77,Maternity,Parity status,Number of births,2,77-Maternity-Parity status-Number of births,0
568795,76,Child Health Surveillance,CHS Mother and Baby,Sleeping,3,76-Child Health Surveillance-CHS Mother and Baby-Sleeping,0
568795,76,Child Health Surveillance,CHS Mother and Baby,Mother's health,3,76-Child Health Surveillance-CHS Mother and Baby-Mother's health,0
568795,76,Child Health Surveillance,CHS Mother and Baby,Feeding,3,76-Child Health Surveillance-CHS Mother and Baby-Feeding,0
788402,75,Child Health Surveillance,Hips (CHS),Right hip,2,75-Child Health Surveillance-Hips (CHS)-Right hip,44791883
788402,75,Child Health Surveillance,Hips (CHS),Left hip,2,75-Child Health Surveillance-Hips (CHS)-Left hip,44791883
660609,74,Child Health Surveillance,CHS Hernia,Umbilical Hernia,3,74-Child Health Surveillance-CHS Hernia -Umbilical Hernia,
660609,74,Child Health Surveillance,CHS Hernia,Right Inguinal,3,74-Child Health Surveillance-CHS Hernia -Right Inguinal,
660609,74,Child Health Surveillance,CHS Hernia,Left Inguinal,3,74-Child Health Surveillance-CHS Hernia -Left Inguinal,
786239,73,Child Health Surveillance,Heart sounds/femoral pulses,Right femoral pulse,3,73-Child Health Surveillance-Heart sounds/femoral pulses-Right femoral pulse,44791883
786239,73,Child Health Surveillance,Heart sounds/femoral pulses,Left femoral pulse,3,73-Child Health Surveillance-Heart sounds/femoral pulses-Left femoral pulse,44791883
786239,73,Child Health Surveillance,Heart sounds/femoral pulses,Heart sounds,3,73-Child Health Surveillance-Heart sounds/femoral pulses-Heart sounds,44791883
699552,72,Child Health Surveillance,Head circumference centile,Head size value,3,72-Child Health Surveillance-Head circumference centile-Head size value,4181669
699552,72,Child Health Surveillance,Head circumference centile,Centile,3,72-Child Health Surveillance-Head circumference centile-Centile,4014734
647612,71,Haematology,Blood group,Blood group,1,71-Haematology-Blood group-Blood group,37393832
402848,70,Miscellaneous,Well person consultation,Seen by,1,70-Miscellaneous-Well person consultation-Seen by,0
569226,69,Maternity,Post-natal examination,Weeks post-natal,2,69-Maternity-Post-natal examination-Weeks post-natal,0
569226,69,Maternity,Post-natal examination,Seen by,2,69-Maternity-Post-natal examination-Seen by,0
281185,68,Elderly,Over 75 years check,Seen by,2,68-Elderly-Over 75 years check-Seen by,0
281185,68,Elderly,Over 75 years check,Check location,2,68-Elderly-Over 75 years check-Check location,0
1637388,67,Miscellaneous,New registration consultation,Seen by,1,67-Miscellaneous-New registration consultation-Seen by,0
62833,66,Miscellaneous,HRT consultation,Seen by,1,66-Miscellaneous-HRT consultation-Seen by,0
1693305,65,Diabetes,Diabetic consultation,Seen by,1,65-Diabetes-Diabetic consultation-Seen by,0
1631235,64,CV / Hypertension,CV / BP consultation,Seen by,1,64-CV / Hypertension-CV / BP consultation-Seen by,0
1115642,63,Child Health Surveillance,CHS Examination,Stage of CHS,2,63-Child Health Surveillance-CHS Examination-Stage of CHS,0
1115642,63,Child Health Surveillance,CHS Examination,Seen by,2,63-Child Health Surveillance-CHS Examination-Seen by,0
1904924,62,Asthma,Asthma consultation,Seen by,1,62-Asthma-Asthma consultation-Seen by,0
1678810,61,Maternity,Ante-natal consultation,Weeks,1,61-Maternity-Ante-natal consultation-Weeks,4061437
491657,60,Maternity,Ante-natal booking,Weeks gestation,3,60-Maternity-Ante-natal booking-Weeks gestation,0
491657,60,Maternity,Ante-natal booking,Type of booking,3,60-Maternity-Ante-natal booking-Type of booking,0
1851217,59,Diabetes,Ankle neuropathy,Right jerk,4,59-Diabetes-Ankle neuropathy-Right jerk,4155898
1851217,59,Diabetes,Ankle neuropathy,Right ankle vibration sense,4,59-Diabetes-Ankle neuropathy-Right ankle vibration sense,4262161
1851217,59,Diabetes,Ankle neuropathy,Left jerk,4,59-Diabetes-Ankle neuropathy-Left jerk,4155898
1851217,59,Diabetes,Ankle neuropathy,Left ankle vibration sense,4,59-Diabetes-Ankle neuropathy-Left ankle vibration sense,4262161
235851,58,Immunisations,Immunisation contraindicated,Contraindicated?,1,58-Immunisations-Immunisation contraindicated-Contraindicated?,0
62536,57,CV / Hypertension,Angina,Angina state,1,57-CV / Hypertension-Angina-Angina state,0
367928,56,Elderly,Vision in the elderly,Visual Aid,2,56-Elderly-Vision in the elderly-Visual Aid,0
367928,56,Elderly,Vision in the elderly,Level of vision,2,56-Elderly-Vision in the elderly-Level of vision,0
828328,55,Asthma,Time off in the last three months,Time off in last 3 months,1,55-Asthma-Time off in the last three months-Time off in last 3 months,0
221334,54,Child Health Surveillance,Speech and language,Speech and language state,1,54-Child Health Surveillance-Speech and language-Speech and language state,4174536
72424,53,Child Health Surveillance,CHS speech 3 years,Speech,1,53-Child Health Surveillance-CHS speech 3 years-Speech,44791883
371763,52,Lifestyle,Sleep pattern,Sleep pattern,2,52-Lifestyle-Sleep pattern-Sleep pattern,0
371763,52,Lifestyle,Sleep pattern,Average Hours,2,52-Lifestyle-Sleep pattern-Average Hours,0
199279,51,Asthma,Asthma risk factors,Asthma risk factor,1,51-Asthma-Asthma risk factors-Asthma risk factor,0
1646,501,Miscellaneous,Clinical Trial Participation,Trial Code,2,501-Miscellaneous-Clinical Trial Participation-Trial Code,0
1646,501,Miscellaneous,Clinical Trial Participation,Reference Database,2,501-Miscellaneous-Clinical Trial Participation-Reference Database,0
6456,500,Miscellaneous,Research Study Participation,Research Code,2,500-Miscellaneous-Research Study Participation-Research Code,0
6456,500,Miscellaneous,Research Study Participation,Reference Database,2,500-Miscellaneous-Research Study Participation-Reference Database,0
201540,50,Lifestyle,Treatment Compliance,Assessment,1,50-Lifestyle-Treatment Compliance-Assessment,0
27950901,5,Lifestyle,Alcohol,Units per week,4,5-Lifestyle-Alcohol-Units per week,35609491
27950901,5,Lifestyle,Alcohol,Stop Date,4,5-Lifestyle-Alcohol-Stop Date,4052945
27950901,5,Lifestyle,Alcohol,Status,4,5-Lifestyle-Alcohol-Status,4042860
27950901,5,Lifestyle,Alcohol,Start Date,4,5-Lifestyle-Alcohol-Start Date,0
41292,499,Miscellaneous,Language Read,Preferred Language,2,499-Miscellaneous-Language Read-Preferred Language,0
41292,499,Miscellaneous,Language Read,Language Read,2,499-Miscellaneous-Language Read-Language Read,0
1115321,498,Miscellaneous,Language Spoken,Preferred Language,2,498-Miscellaneous-Language Spoken-Preferred Language,4052785
1115321,498,Miscellaneous,Language Spoken,Language Spoken,2,498-Miscellaneous-Language Spoken-Language Spoken,
5771,494,Elderly,Palliative OOH arrangements,Should GP be contacted OO,3,494-Elderly-Palliative OOH arrangements-Should GP be contacted OO,0
5771,494,Elderly,Palliative OOH arrangements,Date discussed with patient,3,494-Elderly-Palliative OOH arrangements-Date discussed with patient,0
5771,494,Elderly,Palliative OOH arrangements,Date discussed with carer,3,494-Elderly-Palliative OOH arrangements-Date discussed with carer,0
1683,492,Elderly,Palliative Care at Home,Moving equipment at home,3,492-Elderly-Palliative Care at Home-Moving equipment at home,0
1683,492,Elderly,Palliative Care at Home,Catheter products at home,3,492-Elderly-Palliative Care at Home-Catheter products at home,0
1683,492,Elderly,Palliative Care at Home,Add. drugs available at home,3,492-Elderly-Palliative Care at Home-Add. drugs available at home,0
34916,49,Elderly,Referred to (elderly),Type of referral,1,49-Elderly-Referred to (elderly)-Type of referral,0
37928,489,Examination Findings,Ankle Brachial Pressure Index,Pressure Index Value,1,489-Examination Findings-Ankle Brachial Pressure Index-Pressure Index Value,0
16085,488,Examination Findings,Weight loss,Weight loss (kg),1,488-Examination Findings-Weight loss-Weight loss (kg),4181042
83558,485,Immunisations,Immunisation status,Status,1,485-Immunisations-Immunisation status-Status,4126323
221544,48,Elderly,Physical health,State of Physical Health,1,48-Elderly-Physical health-State of Physical Health,0
29280,479,Elderly,Palliative Care Plan,GSFS Review date,4,479-Elderly-Palliative Care Plan-GSFS Review date,0
29280,479,Elderly,Palliative Care Plan,GP to sign,4,479-Elderly-Palliative Care Plan-GP to sign,0
29280,479,Elderly,Palliative Care Plan,ECS upload date,4,479-Elderly-Palliative Care Plan-ECS upload date,0
29280,479,Elderly,Palliative Care Plan,Date of agreement,4,479-Elderly-Palliative Care Plan-Date of agreement,0
991033,476,Examination Findings,Waist circumference,Circumference (cms),1,476-Examination Findings-Waist circumference-Circumference (cms),4172830
150831,475,Examination Findings,Target blood pressure,Systolic,2,475-Examination Findings-Target blood pressure-Systolic,4153323
150831,475,Examination Findings,Target blood pressure,Diastolic,2,475-Examination Findings-Target blood pressure-Diastolic,4152382
418362,47,Examination Findings,Peripheral oedema,Site of Oedema,3,47-Examination Findings-Peripheral oedema-Site of Oedema,0
418362,47,Examination Findings,Peripheral oedema,Peripheral Oedema,3,47-Examination Findings-Peripheral oedema-Peripheral Oedema,0
418362,47,Examination Findings,Peripheral oedema,Laterality,3,47-Examination Findings-Peripheral oedema-Laterality,0
465911,465,Asthma,Asthma Daytime symptoms,Numeric Result,2,465-Asthma-Asthma Daytime symptoms-Numeric Result,0
465911,465,Asthma,Asthma Daytime symptoms,Fit Frequency,2,465-Asthma-Asthma Daytime symptoms-Fit Frequency,0
233887,464,Asthma,Asthma Night time symptoms,Numeric Result,2,464-Asthma-Asthma Night time symptoms-Numeric Result,0
233887,464,Asthma,Asthma Night time symptoms,Fit Frequency,2,464-Asthma-Asthma Night time symptoms-Fit Frequency,0
191689,463,Asthma,Asthma Limiting Activity,Numeric Result,2,463-Asthma-Asthma Limiting Activity-Numeric Result,4015948
191689,463,Asthma,Asthma Limiting Activity,Fit Frequency,2,463-Asthma-Asthma Limiting Activity-Fit Frequency,4017306
3200188,462,Diagnostic Tests,Tactile Sensation,Qualifier,1,462-Diagnostic Tests-Tactile Sensation-Qualifier,4265871
39671317,461,Miscellaneous,Repeat Medication Review,Seen by,4,461-Miscellaneous-Repeat Medication Review-Seen by,4057411
39671317,461,Miscellaneous,Repeat Medication Review,Review date,4,461-Miscellaneous-Repeat Medication Review-Review date,4200295
39671317,461,Miscellaneous,Repeat Medication Review,Next review date,4,461-Miscellaneous-Repeat Medication Review-Next review date,44807096
39671317,461,Miscellaneous,Repeat Medication Review,Due date,4,461-Miscellaneous-Repeat Medication Review-Due date,44807096
4001798,46,Miscellaneous,Parental consent,Type of consent,1,46-Miscellaneous-Parental consent-Type of consent,0
1416484,45,Asthma,Night cough,Night Cough,1,45-Asthma-Night cough-Night Cough,4059018
70148,44,Elderly,Elderly mobility level,Mobility Level,1,44-Elderly-Elderly mobility level-Mobility Level,4232753
276449,43,Elderly,Elderly mental emotional state,Mental emotional state,1,43-Elderly-Elderly mental emotional state-Mental emotional state,0
282577,42,Elderly,Elderly mental cognitive state,Mental cognitive state,1,42-Elderly-Elderly mental cognitive state-Mental cognitive state,0
161943,41,Child Health Surveillance,CHS manipulation,Manipulation,1,41-Child Health Surveillance-CHS manipulation-Manipulation,44791883
67962,40,Child Health Surveillance,CHS language 3 years,Language,1,40-Child Health Surveillance-CHS language 3 years-Language,44791883
57858192,4,Lifestyle,Smoking,Stop Date,6,4-Lifestyle-Smoking-Stop Date,4052466
57858192,4,Lifestyle,Smoking,Status,6,4-Lifestyle-Smoking-Status,4275495
57858192,4,Lifestyle,Smoking,Start Date,6,4-Lifestyle-Smoking-Start Date,4141787
57858192,4,Lifestyle,Smoking,Ounces of tobacco,6,4-Lifestyle-Smoking-Ounces of tobacco,4219336
57858192,4,Lifestyle,Smoking,Cigars per day,6,4-Lifestyle-Smoking-Cigars per day,0
57858192,4,Lifestyle,Smoking,Cigarettes per day,6,4-Lifestyle-Smoking-Cigarettes per day,40766579
65651,39,Child Health Surveillance,CHS locomotion 18 months,Locomotion,1,39-Child Health Surveillance-CHS locomotion 18 months-Locomotion,44791883
2747315,38,Asthma,Inhaler ability,Inhaler ability,1,38-Asthma-Inhaler ability-Inhaler ability,37116323
1,372,Diagnostic Tests,Scoring test result,#NAME?,4,372-Diagnostic Tests-Scoring test result-- PHQ-9,0
1,372,Diagnostic Tests,Scoring test result,|ASSIGN,4,372-Diagnostic Tests-Scoring test result-|ASSIGN,
1,372,Diagnostic Tests,Scoring test result,|,4,372-Diagnostic Tests-Scoring test result-|,0
1,372,Diagnostic Tests,Scoring test result,YES/NO,4,372-Diagnostic Tests-Scoring test result-YES/NO,0
2,372,Diagnostic Tests,Scoring test result,YEARS.,4,372-Diagnostic Tests-Scoring test result-YEARS.,0
345,372,Diagnostic Tests,Scoring test result,YEARS,4,372-Diagnostic Tests-Scoring test result-YEARS,0
2,372,Diagnostic Tests,Scoring test result,XL SPREADSHEE,4,372-Diagnostic Tests-Scoring test result-XL SPREADSHEE,0
1,372,Diagnostic Tests,Scoring test result,XL SHEET,4,372-Diagnostic Tests-Scoring test result-XL SHEET,0
11,372,Diagnostic Tests,Scoring test result,XL,4,372-Diagnostic Tests-Scoring test result-XL,0
1,372,Diagnostic Tests,Scoring test result,WWW.RISKSCORE,4,372-Diagnostic Tests-Scoring test result-WWW.RISKSCORE,0
1,372,Diagnostic Tests,Scoring test result,WWW.BAPEN.ORG,4,372-Diagnostic Tests-Scoring test result-WWW.BAPEN.ORG,0
1,372,Diagnostic Tests,Scoring test result,WWW,4,372-Diagnostic Tests-Scoring test result-WWW,0
1,372,Diagnostic Tests,Scoring test result,WRITTEN DURIN,4,372-Diagnostic Tests-Scoring test result-WRITTEN DURIN,0
4,372,Diagnostic Tests,Scoring test result,WRITTEN,4,372-Diagnostic Tests-Scoring test result-WRITTEN,0
1,372,Diagnostic Tests,Scoring test result,WORLD,4,372-Diagnostic Tests-Scoring test result-WORLD,0
1,372,Diagnostic Tests,Scoring test result,WORD DOCUMENT,4,372-Diagnostic Tests-Scoring test result-WORD DOCUMENT,0
1,372,Diagnostic Tests,Scoring test result,WORD,4,372-Diagnostic Tests-Scoring test result-WORD,0
1,372,Diagnostic Tests,Scoring test result,WOOFORDE,4,372-Diagnostic Tests-Scoring test result-WOOFORDE,0
2,372,Diagnostic Tests,Scoring test result,WOODSEATS SHE,4,372-Diagnostic Tests-Scoring test result-WOODSEATS SHE,0
30,372,Diagnostic Tests,Scoring test result,WOODFORDE,4,372-Diagnostic Tests-Scoring test result-WOODFORDE,0
1,372,Diagnostic Tests,Scoring test result,WMC/SHEFFIELD,4,372-Diagnostic Tests-Scoring test result-WMC/SHEFFIELD,0
1,372,Diagnostic Tests,Scoring test result,WMC SHEFFIELF,4,372-Diagnostic Tests-Scoring test result-WMC SHEFFIELF,0
105,372,Diagnostic Tests,Scoring test result,WMC SHEFFIELD,4,372-Diagnostic Tests-Scoring test result-WMC SHEFFIELD,0
36,372,Diagnostic Tests,Scoring test result,WMC SHEFF,4,372-Diagnostic Tests-Scoring test result-WMC SHEFF,0
1,372,Diagnostic Tests,Scoring test result,WMC SHEFFIEL,4,372-Diagnostic Tests-Scoring test result-WMC SHEFFIEL,
103,372,Diagnostic Tests,Scoring test result,WMC,4,372-Diagnostic Tests-Scoring test result-WMC,0
1,372,Diagnostic Tests,Scoring test result,WITHOUT DXA,4,372-Diagnostic Tests-Scoring test result-WITHOUT DXA,0
1,372,Diagnostic Tests,Scoring test result,WITHOUT BMD,4,372-Diagnostic Tests-Scoring test result-WITHOUT BMD,0
1,372,Diagnostic Tests,Scoring test result,WITH SYS BP,4,372-Diagnostic Tests-Scoring test result-WITH SYS BP,0
3,372,Diagnostic Tests,Scoring test result,WITH PT,4,372-Diagnostic Tests-Scoring test result-WITH PT,0
2,372,Diagnostic Tests,Scoring test result,WITH PATINET,4,372-Diagnostic Tests-Scoring test result-WITH PATINET,0
107,372,Diagnostic Tests,Scoring test result,WITH PATIENT,4,372-Diagnostic Tests-Scoring test result-WITH PATIENT,0
1,372,Diagnostic Tests,Scoring test result,WITH DR,4,372-Diagnostic Tests-Scoring test result-WITH DR,0
3,372,Diagnostic Tests,Scoring test result,WITH BMD,4,372-Diagnostic Tests-Scoring test result-WITH BMD,0
1,372,Diagnostic Tests,Scoring test result,WHP,4,372-Diagnostic Tests-Scoring test result-WHP,0
1,372,Diagnostic Tests,Scoring test result,WHOFRAXOSTEO#,4,372-Diagnostic Tests-Scoring test result-WHOFRAXOSTEO#,0
1,372,Diagnostic Tests,Scoring test result,WHOFRAXOSTEO,4,372-Diagnostic Tests-Scoring test result-WHOFRAXOSTEO,0
1,372,Diagnostic Tests,Scoring test result,WHOFRAXHIP#,4,372-Diagnostic Tests-Scoring test result-WHOFRAXHIP#,0
3,372,Diagnostic Tests,Scoring test result,WHOFRAXHIP,4,372-Diagnostic Tests-Scoring test result-WHOFRAXHIP,0
1,372,Diagnostic Tests,Scoring test result,WHOFRAX10YR,4,372-Diagnostic Tests-Scoring test result-WHOFRAX10YR,0
2,372,Diagnostic Tests,Scoring test result,WHOFRAX OSTEO,4,372-Diagnostic Tests-Scoring test result-WHOFRAX OSTEO,0
2,372,Diagnostic Tests,Scoring test result,WHO WEBSITE,4,372-Diagnostic Tests-Scoring test result-WHO WEBSITE,0
1,372,Diagnostic Tests,Scoring test result,WHO FRAXX,4,372-Diagnostic Tests-Scoring test result-WHO FRAXX,0
1,372,Diagnostic Tests,Scoring test result,WHO FRAX SCOR,4,372-Diagnostic Tests-Scoring test result-WHO FRAX SCOR,0
1,372,Diagnostic Tests,Scoring test result,WHO FRAX RISK,4,372-Diagnostic Tests-Scoring test result-WHO FRAX RISK,0
1,372,Diagnostic Tests,Scoring test result,WHO FRAX HIP,4,372-Diagnostic Tests-Scoring test result-WHO FRAX HIP,0
2,372,Diagnostic Tests,Scoring test result,WHO FRAX BMI,4,372-Diagnostic Tests-Scoring test result-WHO FRAX BMI,0
1,372,Diagnostic Tests,Scoring test result,WHO FRAX 10 Y,4,372-Diagnostic Tests-Scoring test result-WHO FRAX 10 Y,
1,372,Diagnostic Tests,Scoring test result,WHO FRAX (BMI,4,372-Diagnostic Tests-Scoring test result-WHO FRAX (BMI,0
145,372,Diagnostic Tests,Scoring test result,WHO FRAX,4,372-Diagnostic Tests-Scoring test result-WHO FRAX,0
6,372,Diagnostic Tests,Scoring test result,WHO FRACTURE,4,372-Diagnostic Tests-Scoring test result-WHO FRACTURE,0
1,372,Diagnostic Tests,Scoring test result,WHO # ASSESSM,4,372-Diagnostic Tests-Scoring test result-WHO # ASSESSM,0
1,372,Diagnostic Tests,Scoring test result,WHO FRACTUR,4,372-Diagnostic Tests-Scoring test result-WHO FRACTUR,
42,372,Diagnostic Tests,Scoring test result,WHO,4,372-Diagnostic Tests-Scoring test result-WHO,0
1,372,Diagnostic Tests,Scoring test result,WELLS' SCORE,4,372-Diagnostic Tests-Scoring test result-WELLS' SCORE,0
1,372,Diagnostic Tests,Scoring test result,WELLS SCORE.,4,372-Diagnostic Tests-Scoring test result-WELLS SCORE.,0
13,372,Diagnostic Tests,Scoring test result,WELLS SCORE,4,372-Diagnostic Tests-Scoring test result-WELLS SCORE,0
1,372,Diagnostic Tests,Scoring test result,WELLS DVT -1,4,372-Diagnostic Tests-Scoring test result-WELLS DVT -1,0
4,372,Diagnostic Tests,Scoring test result,WELLS DVT,4,372-Diagnostic Tests-Scoring test result-WELLS DVT,0
1,372,Diagnostic Tests,Scoring test result,WELLS ASSES,4,372-Diagnostic Tests-Scoring test result-WELLS ASSES,0
1,372,Diagnostic Tests,Scoring test result,WELLS -2,4,372-Diagnostic Tests-Scoring test result-WELLS -2,0
1,372,Diagnostic Tests,Scoring test result,WELLS SCORE,4,372-Diagnostic Tests-Scoring test result-WELLS SCORE,
95,372,Diagnostic Tests,Scoring test result,WELLS,4,372-Diagnostic Tests-Scoring test result-WELLS,0
1,372,Diagnostic Tests,Scoring test result,WELL.,4,372-Diagnostic Tests-Scoring test result-WELL.,0
3,372,Diagnostic Tests,Scoring test result,WELL'S SCORE,4,372-Diagnostic Tests-Scoring test result-WELL'S SCORE,0
8,372,Diagnostic Tests,Scoring test result,WELL'S,4,372-Diagnostic Tests-Scoring test result-WELL'S,0
1,372,Diagnostic Tests,Scoring test result,WELL SCORE,4,372-Diagnostic Tests-Scoring test result-WELL SCORE,0
1,372,Diagnostic Tests,Scoring test result,WELL NORMAL,4,372-Diagnostic Tests-Scoring test result-WELL NORMAL,0
15,372,Diagnostic Tests,Scoring test result,WELL,4,372-Diagnostic Tests-Scoring test result-WELL,0
4,372,Diagnostic Tests,Scoring test result,WEBTOOL,4,372-Diagnostic Tests-Scoring test result-WEBTOOL,0
9,372,Diagnostic Tests,Scoring test result,WEBSITE,4,372-Diagnostic Tests-Scoring test result-WEBSITE,0
1,372,Diagnostic Tests,Scoring test result,WEBBASED TOOL,4,372-Diagnostic Tests-Scoring test result-WEBBASED TOOL,0
40,372,Diagnostic Tests,Scoring test result,WEB TOOL,4,372-Diagnostic Tests-Scoring test result-WEB TOOL,0
1,372,Diagnostic Tests,Scoring test result,WEB CALC,4,372-Diagnostic Tests-Scoring test result-WEB CALC,0
2,372,Diagnostic Tests,Scoring test result,WEB BASED,4,372-Diagnostic Tests-Scoring test result-WEB BASED,0
48,372,Diagnostic Tests,Scoring test result,WEB,4,372-Diagnostic Tests-Scoring test result-WEB,0
1,372,Diagnostic Tests,Scoring test result,WCXCVD,4,372-Diagnostic Tests-Scoring test result-WCXCVD,0
1,372,Diagnostic Tests,Scoring test result,WC USED,4,372-Diagnostic Tests-Scoring test result-WC USED,0
1,372,Diagnostic Tests,Scoring test result,WASA,4,372-Diagnostic Tests-Scoring test result-WASA,0
2,372,Diagnostic Tests,Scoring test result,VULNERABLE,4,372-Diagnostic Tests-Scoring test result-VULNERABLE,
1,372,Diagnostic Tests,Scoring test result,VSION,4,372-Diagnostic Tests-Scoring test result-VSION,0
3,372,Diagnostic Tests,Scoring test result,VISUAL,4,372-Diagnostic Tests-Scoring test result-VISUAL,0
1,372,Diagnostic Tests,Scoring test result,VISON,4,372-Diagnostic Tests-Scoring test result-VISON,0
1,372,Diagnostic Tests,Scoring test result,VISION+,4,372-Diagnostic Tests-Scoring test result-VISION+,0
1,372,Diagnostic Tests,Scoring test result,VISION Q RISK,4,372-Diagnostic Tests-Scoring test result-VISION Q RISK,0
2,372,Diagnostic Tests,Scoring test result,VISION FRAM,4,372-Diagnostic Tests-Scoring test result-VISION FRAM,0
1,372,Diagnostic Tests,Scoring test result,VISION CALCUL,4,372-Diagnostic Tests-Scoring test result-VISION CALCUL,0
1,372,Diagnostic Tests,Scoring test result,VISION CALC,4,372-Diagnostic Tests-Scoring test result-VISION CALC,0
113,372,Diagnostic Tests,Scoring test result,VISION,4,372-Diagnostic Tests-Scoring test result-VISION,0
1,372,Diagnostic Tests,Scoring test result,VIA DEXA,4,372-Diagnostic Tests-Scoring test result-VIA DEXA,0
1,372,Diagnostic Tests,Scoring test result,VIA APP,4,372-Diagnostic Tests-Scoring test result-VIA APP,0
7,372,Diagnostic Tests,Scoring test result,VERY HIGH RIS,4,372-Diagnostic Tests-Scoring test result-VERY HIGH RIS,0
1,372,Diagnostic Tests,Scoring test result,VERY DIFF,4,372-Diagnostic Tests-Scoring test result-VERY DIFF,0
1,372,Diagnostic Tests,Scoring test result,VERBAL TEST W,4,372-Diagnostic Tests-Scoring test result-VERBAL TEST W,0
1,372,Diagnostic Tests,Scoring test result,VERBAL QUESTI,4,372-Diagnostic Tests-Scoring test result-VERBAL QUESTI,0
1,372,Diagnostic Tests,Scoring test result,(N PHQ-2,4,372-Diagnostic Tests-Scoring test result-(N PHQ-2,0
37,372,Diagnostic Tests,Scoring test result,VERBAL,4,372-Diagnostic Tests-Scoring test result-VERBAL,0
1074,372,Diagnostic Tests,Scoring test result,VENTRIS RISK,4,372-Diagnostic Tests-Scoring test result-VENTRIS RISK,0
6,372,Diagnostic Tests,Scoring test result,VENTRIS,4,372-Diagnostic Tests-Scoring test result-VENTRIS,0
1,372,Diagnostic Tests,Scoring test result,VASC SCORE,4,372-Diagnostic Tests-Scoring test result-VASC SCORE,0
1,372,Diagnostic Tests,Scoring test result,VASC 5,4,372-Diagnostic Tests-Scoring test result-VASC 5,0
1,372,Diagnostic Tests,Scoring test result,VAS,4,372-Diagnostic Tests-Scoring test result-VAS,0
2,372,Diagnostic Tests,Scoring test result,VAMP,4,372-Diagnostic Tests-Scoring test result-VAMP,0
