count,provcat,description,higher-level category
4324,1523,PSYCHIATRIST - ADDICTION SPECIALIST,PSYCHIATRY
764,2144,CLINICAL SOCIAL WORKER,SOCIAL WORKER
8399,0543,MEDICAL GENETICIST,GENETICS
11501,0467,PEDIATRIC ENDOCRINOLOGIST,ENDOCRINOLOGY
8994,0572,MEDICAL ONCOLOGIST,HEMATOLOGY & ONCOLOGY
2407,1313,DIAGNOSTIC RADIOLOGIST,RADIOLOGY
6111,2823,MARRIAGE AND FAMILY THERAPIST,MENTAL HEALTH PROFESSIONAL
1457,2776,PEDIATRIC ANESTHESIOLOGY,ANESTHESIOLOGY
17494,5945,ADDICTION MEDICINE SPECIALIST,ADDICTION MEDICINE SPECIALIST
40,2992,NUTRITIONIST,NUTRITIONIST
4220,4142,PHYSICAL THERAPY-PEDIATRIC,PHYSICAL THERAPY PROVIDER
306,2829,PSYCHOANALYST,CLINICAL PSYCHOLOGY
47,2406,"NURSE PRACTITIONER, CLINICAL SPECIALIST IN MENTAL",REGISTERED NURSE - PSYCHIATRIC
52,1829,ADDICTION MEDICINE SPECIALIST,ADDICTION MEDICINE SPECIALIST
223,1653,REGISTERED NURSE,REGISTERED NURSE
1,5905,URGENT CARE SPECIALIST,EMERGENCY MEDICINE
9029421,4635,MEDICAL REHABILITATION CENTER,CARDIAC & MEDICAL REHAB FACILITIES
32132109,0051,URGENT CARE CENTER,EMERGENCY CARE
3666680,5834,PAIN MANAGEMENT SPECIALIST,ANESTHESIOLOGY
15440,0036,UNKNOWN PROVIDER TYPE,UNKNOWN
27828,0124,BUSINESS MANAGER,OTHER NON-PHYSICIAN PROVIDER
181043,0374,ALLERGIST & IMMUNOLOGIST,ALLERGY & IMMUNOLOGY
81526,0819,PUBLIC HEALTH/PREVENTIVE MEDICINE SPECIALIST,PREVENTIVE MEDICINE
62185,0033,INFIRMARY,INFIRMARY
398270,3954,HOMEMAKER AIDE,HOMEMAKER AIDE
56465,3575,RADIOLOGIST,RADIOLOGY
378,1557,MRI RADIOLOGIST,RADIOLOGY
11416,0816,AEROSPACE MEDICINE SPECIALIST,PREVENTIVE MEDICINE
10384,2942,NEUROMUSCULAR DISEASE SPECIALIST,NEUROLOGY
144963,5085,DOCTOR OF NATUROPATHY,OTHER NON-PHYSICIAN PROVIDER
104,2698,PAIN MANAGEMENT SPECIALIST,ANESTHESIOLOGY
53518,4641,INTERNIST/GENERAL INTERNIST,INTERNAL MEDICINE
7323,0487,PEDIATRIC GASTROENTEROLOGIST,GASTROENTEROLOGY
3796,5897,ORTHODONTIST,ORTHODONTIST
1161,1129,CLINICAL SOCIAL WORKER/MENTAL HEALTH COUNSELOR,MENTAL HEALTH PROFESSIONAL
199,3913,PEDIATRIC NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
103,1362,REGISTERED NURSE ANESTHETIST,REGISTERED NURSE - ANESTHETIST
56,5722,PEDIATRICIAN,PEDIATRICS
1650,0925,RADIOLOGICAL PHYSICIST,RADIOLOGY
99,4367,DOCTOR OF NATUROPATHY,OTHER NON-PHYSICIAN PROVIDER
26,1314,PHYSICAL THERAPIST - MOVEMENT DISORDERS,PHYSICAL THERAPY PROVIDER
58,0127,CHRISTIAN SCIENCE TEACHER,OTHER NON-PHYSICIAN PROVIDER
543,2514,PSYCHIATRIST - CLINICAL PSYCHOLOGY,PSYCHIATRY
477,2413,UNKNOWN SPECIALTY PHYSICIAN,UNKNOWN SPECIALTY PHYSICIAN
1,5820,CRITICAL CARE MEDICINE SPECIALIST,CRITICAL CARE MEDICINE
2,2196,PATHOLOGIST,PATHOLOGY
2,7135,PLEBOTOMY MOBILE,BLOOD SERVICES CENTER
2,2961,OTOLOGIST,OTOLARYNGOLOGY
341170336,0339,INTERNIST/GENERAL INTERNIST,INTERNAL MEDICINE
2834939,5756,GENERAL SURGEON,GENERAL SURGERY
5464176,0713,ANATOMICAL/CLINICAL PATHOLOGIST,PATHOLOGY
1162992,4622,INTERVENTIONAL CARDIOLOGY,CARDIOLOGY
96837,0930,RADIOLOGIST,RADIOLOGY
6401149,0046,DIALYSIS FACILITY,DIALYSIS FACILITY
56363,1620,HOSPITALIST,OTHER PHYSICIAN SPECIALTY
6300,0775,OCCUPATIONAL MEDICINE SPECIALIST,PHYSICAL MEDICINE & REHABILITATION
2065,2133,HOMEOPATHY SPECIALIST,OTHER PHYSICIAN SPECIALTY
466,1294,INDEPENDENT LABORATORY,INDEPENDENT LABORATORY
5497,3196,NON-EMERGENT TRANSPORTATION,AMBULANCE PROVIDERS
3533,1200,"NURSE PRACTITIONER, CLINICAL SPECIALIST IN MENTAL",REGISTERED NURSE - PSYCHIATRIC
81673,0079,HOME HEALTH AGENCY,HOME HEALTH AGENCY
7321,2206,PSYCHIATRIC NURSE SPECIALIST,REGISTERED NURSE - PSYCHIATRIC
4006,3434,MEDICAL REHABILITATION CENTER,CARDIAC & MEDICAL REHAB FACILITIES
12725,1735,OTHER MENTAL HEALTH PROFESSIONAL,MENTAL HEALTH PROFESSIONAL
2632,1603,UNKNOWN PROVIDER TYPE,UNKNOWN
580,1281,DIAGNOSTIC IMMUNOLOGIST,ALLERGY & IMMUNOLOGY
1387,2326,MASTER OF SOCIAL WORK,SOCIAL WORKER
611,2743,ALCOHOL AND DRUG ABUSE COUNSELOR,ADDICTION MEDICINE SPECIALIST
213,2248,NUTRITIONIST,NUTRITIONIST
306,2974,MASSAGE THERAPIST,PHYSICAL THERAPY PROVIDER
48,0724,ANATOMICAL PATHOLOGIST,PATHOLOGY
102,4106,DOCTOR OF NATUROPATHY,OTHER NON-PHYSICIAN PROVIDER
417,4378,ATHLETIC TRAINER,PHYSICAL THERAPY PROVIDER
133,3086,LICENSED PROFESSIONAL COUNSELOR,MENTAL HEALTH PROFESSIONAL
14,2051,RADIOLOGIST,RADIOLOGY
3,2032,ANESTHESIOLOGIST,ANESTHESIOLOGY
25,3121,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
2,2833,MEDICAL ONCOLOGIST,HEMATOLOGY & ONCOLOGY
40999276,5325,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
181461,0359,PEDIATRICIAN,PEDIATRICS
4347874,4664,INTERMED CARE FAC INDV INT DIS,EXTENDED CARE FACILITIES
429167,3796,LEGAL MEDICINE SPECIALIST,OTHER PHYSICIAN SPECIALTY
950486,0667,CLINICAL PHARMACOLOGIST,OTHER PHYSICIAN SPECIALTY
1270608,4122,FAMILY PLANNING,OTHER NON-PHYSICIAN PROVIDER
473952,5854,PEDIATRIC CRITICAL CARE MEDICINE SPECIALIST,CRITICAL CARE MEDICINE
6224167,1744,FAMILY NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
3893,1654,PSYCHIATRIST - CLINICAL PSYCHOLOGY,PSYCHIATRY
10652,0434,PEDIATRIC CRITICAL CARE MEDICINE SPECIALIST,CRITICAL CARE MEDICINE
135824,5115,OBSTETRICS/GYNECOLOGY SPECIALIST,OBSTETRICS & GYNECOLOGY
1400,1651,CLINICAL SOCIAL WORKER/MENTAL HEALTH COUNSELOR,MENTAL HEALTH PROFESSIONAL
3475,2138,AUDIOLOGIST,AUDIOLOGIST
4413,0592,PEDIATRIC INFECTIOUS DISEASES SPECIALIST,INFECTIOUS DISEASES
6026,1210,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
29822,5251,OTHER MENTAL HEALTH PROFESSIONAL,MENTAL HEALTH PROFESSIONAL
1098,2168,ANESTHESIOLOGIST,ANESTHESIOLOGY
99533,4651,ANESTHESIOLOGIST,ANESTHESIOLOGY
2955,0782,PHYSICAL MEDICINE SPECIALIST,PHYSICAL MEDICINE & REHABILITATION
3044,5716,URGENT CARE SPECIALIST,EMERGENCY MEDICINE
4026,1579,SPINAL CORD INJURY MEDICINE,NEUROLOGY
8549,1379,REHABILITATION MEDICINE SPECIALIST,PHYSICAL MEDICINE & REHABILITATION
1102,1170,PSYCHIATRIST/NEUROLOGIST,PSYCHIATRY
12,5766,OTOLARYNGOLOGIST,OTOLARYNGOLOGY
203,4352,LICENSED PROFESSIONAL COUNSELOR,MENTAL HEALTH PROFESSIONAL
221,3664,GENETIC COUNSELOR,GENETICS
87,2229,OTOLOGIST,OTOLARYNGOLOGY
408,5797,PEDIATRIC CRITICAL CARE MEDICINE SPECIALIST,CRITICAL CARE MEDICINE
17,4119,THORACIC/CARDIOVASCULAR SURGEON,THORACIC SURGERY
67,4062,BREAST SURGERY,GENERAL SURGERY
2,1136,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
30,6156,CERTIFIED SURGICAL ASSISTANT,OTHER NON-PHYSICIAN PROVIDER
1,3270,PEDIATRICIAN,PEDIATRICS
1,1400,MEDICAL REHABILITATION CENTER,CARDIAC & MEDICAL REHAB FACILITIES
1,3174,PAIN MANAGEMENT SPECIALIST,ANESTHESIOLOGY
311,3301,CHIROPRACTOR,CHIROPRACTOR
38,2493,PSYCHIATRIST,PSYCHIATRY
20056077,0901,RADIOLOGIST,RADIOLOGY
3466778,5872,RADIATION ONCOLOGIST,THERAPEUTIC RADIOLOGY
3489948,5883,ALLERGIST & IMMUNOLOGIST,ALLERGY & IMMUNOLOGY
402734,0985,UNKNOWN SPECIALTY PHYSICIAN,UNKNOWN SPECIALTY PHYSICIAN
574291,0466,PEDIATRIC ENDOCRINOLOGIST,ENDOCRINOLOGY
146001,3273,HOSPICE AND PALLIATIVE MEDICINE,HOSPICE AND PALLIATIVE MEDICINE
52584,0645,ORTHOPEDIC SURGEON,ORTHOPEDICS
66710,0363,PEDIATRIC SPECIALIST,PEDIATRICS
6269,0798,PEDIATRIC PLASTIC SURGEON,PLASTIC & RECONSTRUCTIVE SURGERY
49524,5921,PSYCHIATRIC NURSE SPECIALIST,REGISTERED NURSE - PSYCHIATRIC
8145,2152,SUBSTANCE ABUSE SERVICES,ADDICTION MEDICINE SPECIALIST
11160,0617,NEUROLOGIST,NEUROLOGY
4287,1359,HOME HEALTH AGENCY- PRIVATE DUTY NURSE,HOME HEALTH AGENCY
9644,5931,PEDIATRIC RHEUMATOLOGIST,RHEUMATOLOGY
5844,1206,HOSPITALIST,OTHER PHYSICIAN SPECIALTY
4987,1648,CLINICAL SOCIAL WORKER,SOCIAL WORKER
108,1713,ORTHOPEDIC SURGEON,ORTHOPEDICS
32193,0019,HOSPICE,HOSPICE
62,1892,INFECTIOUS DISEASES SPECIALIST,INFECTIOUS DISEASES
168,0792,PEDIATRIC SPORTS MEDICINE SPECIALIST,PHYSICAL MEDICINE & REHABILITATION
2150,2926,LICENSED PROFESSIONAL COUNSELOR,MENTAL HEALTH PROFESSIONAL
236,3729,MEDICAL REHABILITATION CENTER,CARDIAC & MEDICAL REHAB FACILITIES
8,7089,CERTIFIED ASTHMA EDUCATOR,OTHER NON-PHYSICIAN PROVIDER
13,2615,FAMILY PRACTITIONER,FAMILY PRACTICE
1,7131,SPEECH PATHOLOGIST,SPEECH THERAPY PROVIDER
1,6978,CRITICAL CARE SURGEON,CRITICAL CARE MEDICINE
4232004,5768,UROLOGIST,UROLOGY
11639,0300,OBSTETRICIAN,OBSTETRICS
11225,0762,PATHOLOGIST,PATHOLOGY
2422518,1217,OCCUPATIONAL THERAPIST,OCCUPATIONAL THERAPY PROVIDER
117687,0249,NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
484974,1633,MARRIAGE AND FAMILY THERAPIST,MENTAL HEALTH PROFESSIONAL
1554,1517,URGENT CARE SPECIALIST,EMERGENCY MEDICINE
778,2186,PHYSICAL MEDICINE SPECIALIST,PHYSICAL MEDICINE & REHABILITATION
7339,0017,SKILLED NURSING FACILITY,EXTENDED CARE FACILITIES
2593,1223,LICENSED PRACTICAL NURSE,VOCATIONAL/PRACTICAL NURSE
12349,5685,NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
6947,0137,UNKNOWN SPECIALTY PHYSICIAN,UNKNOWN SPECIALTY PHYSICIAN
3175,1328,CERTIFIED ACUPUNCTURIST,ACUPUNCTURIST
65,0902,DIAGNOSTIC RADIOLOGIST,RADIOLOGY
727,1151,PLASTIC SURGEON,PLASTIC & RECONSTRUCTIVE SURGERY
5958,0239,CERTIFIED NURSE ANESTHETIST,REGISTERED NURSE - ANESTHETIST
15647,5928,DOCTOR OF NAPROPATHY,OTHER NON-PHYSICIAN PROVIDER
346,0369,ALLERGIST,ALLERGY & IMMUNOLOGY
1717,2764,LICENSED PROFESSIONAL COUNSELOR,MENTAL HEALTH PROFESSIONAL
168,0500,ABDOMINAL GENERAL SURGEON,GENERAL SURGERY
470,2291,PHYSICIANS ASSISTANT,OTHER NON-PHYSICIAN PROVIDER
269,0878,PSYCHOSOMATIC MEDICINE SPECIALIST,PSYCHIATRY
23,2487,PSYCHIATRIC NURSE SPECIALIST,REGISTERED NURSE - PSYCHIATRIC
48,3402,PSYCHIATRIST/NEUROLOGIST,PSYCHIATRY
71,0709,RHINOLOGIST,OTOLARYNGOLOGY
214,1154,"NURSE PRACTITIONER, CLINICAL SPECIALIST IN MENTAL HEALTH",REGISTERED NURSE - PSYCHIATRIC
2,0743,FORENSIC PATHOLOGIST,PATHOLOGY
42,3772,GENETIC COUNSELOR,GENETICS
15,3223,OCCUPATIONAL MEDICINE SPECIALIST,PHYSICAL MEDICINE & REHABILITATION
17,3733,GENETIC COUNSELOR,GENETICS
47,0731,CHEMICAL PATHOLOGIST,PATHOLOGY
12,3219,PEDIATRIC REHABILITATION MEDICINE,PEDIATRICS
1,4262,REGISTERED NURSE ANESTHETIST,REGISTERED NURSE - ANESTHETIST
23665053,0228,PSYCHOLOGIST,MENTAL HEALTH PROFESSIONAL
6341451,0599,NEPHROLOGIST,NEPHROLOGY
9346636,0341,INTERNIST/GENERAL INTERNIST,INTERNAL MEDICINE
151908,0984,UNKNOWN SPECIALTY PHYSICIAN,UNKNOWN SPECIALTY PHYSICIAN
128152,0382,PEDIATRIC ALLERGIST & IMMUNOLOGIST,ALLERGY & IMMUNOLOGY
906513,3738,ANATOMICAL PATHOLOGIST,PATHOLOGY
513890,6055,PHARMACIST,PHARMACY
7402687,1171,CHIROPRACTOR,CHIROPRACTOR
967014,0059,MRI CENTER,INDEPENDENT RADIOLOGY
1428614,5063,FAMILY PRACTITIONER,FAMILY PRACTICE
20497,0983,UNKNOWN SPECIALTY PHYSICIAN,UNKNOWN SPECIALTY PHYSICIAN
399537,0267,MASSAGE THERAPIST,PHYSICAL THERAPY PROVIDER
1741,1871,UNKNOWN SPECIALTY PHYSICIAN,UNKNOWN SPECIALTY PHYSICIAN
954,0088,HOME IV THERAPY PROVIDER,HOME HEALTH CARE
1616,0180,PERIODONTIST,PERIODONTIST
22,3821,MEDICAL REHABILITATION CENTER,CARDIAC & MEDICAL REHAB FACILITIES
935,5343,CLINICAL SOCIAL WORKER,SOCIAL WORKER
3967,4010,PEDIATRIC MEDICAL DAY CARE,COMMUNITY SUPPORT SERVICES
656,6716,PHYSICIAN NUTRITION SPECIALIST,OTHER PHYSICIAN SPECIALTY
247,1824,ENDOCRINOLOGIST,ENDOCRINOLOGY
916,3044,LICENSED PRACTICAL NURSE,VOCATIONAL/PRACTICAL NURSE
389,3983,BEHAVIORAL ANALYST - AUTISM PROGRAM,MENTAL HEALTH PROFESSIONAL
35,5668,ALLIED HEALTH PROF GROUP,OTHER NON-PHYSICIAN PROVIDER
133,3717,NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
96,4053,NUTRITIONIST,NUTRITIONIST
118,1827,CERTIFIED ACUPUNCTURIST,ACUPUNCTURIST
856,6005,UNKNOWN NON-PHYSICIAN PROVIDER,OTHER NON-PHYSICIAN PROVIDER
3,6250,CASE MANAGEMENT AGENCY,COMMUNITY SUPPORT SERVICES
1,1288,PERIODONTIST,PERIODONTIST
25,0847,CHILD & ADOLESCENT PSYCHIATRIST,PSYCHIATRY
68,1751,NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
28,7176,CLINICAL MOLECULAR GENETICS,GENETICS
1,7444,LICENSED PRACTICAL NURSE,VOCATIONAL/PRACTICAL NURSE
86,2207,GENERAL SURGEON,GENERAL SURGERY
21,3787,GENERAL PRACTICE SPECIALIST,FAMILY PRACTICE
85855440,0408,CARDIOLOGIST,CARDIOLOGY
5663173,0607,NEURO-SURGEON,NEUROLOGICAL SURGERY
7875538,4636,AMBULANCE,AMBULANCE PROVIDERS
635110,5979,ORTHOPEDIC SURGEON - HAND SPECIALIST,ORTHOPEDICS
297230,0497,GENERAL SURGEON - ORAL & MAXILOFACIAL SPECIALIST,GENERAL SURGERY
1351,1168,CRISIS DIVERSION,SOCIAL WORKER
2372,3303,HOSPICE AND PALLIATIVE MEDICINE,HOSPICE AND PALLIATIVE MEDICINE
16794,4381,CERTIFIED SURGICAL ASSISTANT,OTHER NON-PHYSICIAN PROVIDER
46,2964,SPORTS MEDICINE SPECIALIST,PHYSICAL MEDICINE & REHABILITATION
5695,1589,ADULT DAY CARE FACILITY,CLINIC/DAY CARE FACILITIES
8951,1018,CHILD & ADOLESCENT PSYCHIATRIST,PSYCHIATRY
1037,5352,OPHTHALMOLOGY,OPHTHALMOLOGY
903,0661,MEDICAL DIRECTOR,OTHER PHYSICIAN SPECIALTY
370,5739,EMERGENCY MEDICINE (PHYSICIANS),EMERGENCY MEDICINE
971,0040,BLOOD SERVICES CENTER,BLOOD SERVICES CENTER
856,3911,BEHAVIORAL ANALYST - AUTISM PROGRAM,MENTAL HEALTH PROFESSIONAL
337,7355,DOCTOR OF NATUROPATHY,OTHER NON-PHYSICIAN PROVIDER
297,1921,GENERAL DENTIST,DENTIST
91,1666,PHYSICIANS ASSISTANT,OTHER NON-PHYSICIAN PROVIDER
327,0522,CLINICAL BIOMEDICAL/MOLECULAR GENETICIST,GENETICS
287,2050,INTERNIST/GENERAL INTERNIST,INTERNAL MEDICINE
251,3229,ATHLETIC TRAINER,PHYSICAL THERAPY PROVIDER
126,2529,REGISTERED NURSE,REGISTERED NURSE - PRACTITIONER
462,6710,SURGICAL ASSISTANT (NON-PHYS),OTHER NON-PHYSICIAN PROVIDER
75,2442,SUBSTANCE ABUSE SERVICES,ADDICTION MEDICINE SPECIALIST
71,1754,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
309,7278,LICENSED PROFESSIONAL COUNSELOR,MENTAL HEALTH PROFESSIONAL
51,2215,OCCUPATIONAL THERAPIST,OCCUPATIONAL THERAPY PROVIDER
3,3403,FORENSIC PSYCHIATRY,PSYCHIATRY
1,5734,REGISTERED NURSE ANESTHETIST,REGISTERED NURSE - ANESTHETIST
2,6761,DEVELOPMENTAL PEDIATRIC SPECIALIST,PEDIATRICS
48,7042,PHYSICIAN NUTRITION SPECIALIST,OTHER PHYSICIAN SPECIALTY
1,3632,PHYSICIANS ASSISTANT,OTHER NON-PHYSICIAN PROVIDER
21424247,0618,NEUROLOGIST,NEUROLOGY
640461,0158,GENERAL DENTIST,DENTIST
4506273,0392,ANESTHESIOLOGIST,ANESTHESIOLOGY
751332,0884,PEDIATRIC PULMONARY DISEASE SPECIALIST,PULMONARY MEDICINE
273507,5202,CERTIFIED NURSE MIDWIFE,REGISTERED NURSE - MIDWIFE
1949,0094,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
40571,5904,PEDIATRIC ORTHOPEDIC SURGEON,ORTHOPEDICS
1086184,6056,CERTIFIED ACUPUNCTURIST,ACUPUNCTURIST
7097,0013,NURSING HOME,EXTENDED CARE FACILITIES
28200,2320,"NURSE PRACTITIONER, CLINICAL SPECIALIST IN MENTAL",REGISTERED NURSE - PSYCHIATRIC
1691,2816,MARRIAGE AND FAMILY THERAPIST,MENTAL HEALTH PROFESSIONAL
1393,5689,ORTHOPEDIC SURGEON,ORTHOPEDICS
13424,5306,REGISTERED NURSE,REGISTERED NURSE - PRACTITIONER
915,2214,MEDICAL GENETICIST,GENETICS
361,1074,CHILD PSYCHIATRIST,PSYCHIATRY
13,0697,LARYNGOLOGIST,OTOLARYNGOLOGY
229,5736,INTERNIST/GENERAL INTERNIST,INTERNAL MEDICINE
10025,6816,FAMILY PLANNING CLINIC,CLINIC/DAY CARE FACILITIES
733,1784,NEURODEVELOPMENTAL DISABILITIES,NEUROLOGY
293,1289,ANATOMICAL PATHOLOGIST,PATHOLOGY
2715,3145,PHYSICIANS ASSISTANT,OTHER NON-PHYSICIAN PROVIDER
260,1771,REGISTERED NURSE,REGISTERED NURSE
120,2994,MASSAGE THERAPIST,PHYSICAL THERAPY PROVIDER
458,1848,MASTER OF SOCIAL WORK,SOCIAL WORKER
955,3999,MEDICAL REHABILITATION CENTER,CARDIAC & MEDICAL REHAB FACILITIES
15,1202,CRISIS DIVERSION,SOCIAL WORKER
1,1697,INTERNIST/GENERAL INTERNIST,INTERNAL MEDICINE
53,2861,PSYCHIATRIST - CLINICAL PSYCHOLOGY,PSYCHIATRY
14,0810,PODIATRIST - MD,PODIATRY MD
12,2574,GENERAL PRACTITIONER,FAMILY PRACTICE
209,2360,SPEECH PATHOLOGIST,SPEECH THERAPY PROVIDER
724,3582,PEDIATRIC OCCUPATIONAL THERAPY,OCCUPATIONAL THERAPY PROVIDER
8,1738,CLINICAL SOCIAL WORKER/MENTAL HEALTH COUNSELOR,MENTAL HEALTH PROFESSIONAL
159,2374,NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
100,2444,OTOLARYNGOLOGIST,OTOLARYNGOLOGY
1,2534,CLINICAL SOCIAL WORKER,SOCIAL WORKER
8,2092,"NURSE PRACTITIONER, CLINICAL SPECIALIST IN MENTAL",REGISTERED NURSE - PSYCHIATRIC
20240202,2984,CLINIC,CLINIC/DAY CARE FACILITIES
5875972,0028,RESIDENTIAL TREATMENT CENTER,MENTAL HEALTH/CHEMICAL DEPENDENCY FACILITIES
3883114,1596,SLEEP STUDY CENTER,AMBULATORY SURGERY CENTERS
549418,0969,THORACIC/CARDIOVASCULAR SURGEON,THORACIC SURGERY
1966479,2364,BLOOD BANKING,BLOOD SERVICES CENTER
1122,1936,MASTER OF SOCIAL WORK,SOCIAL WORKER
2938,0640,PEDIATRIC OPHTHALMOLOGIST,OPHTHALMOLOGY
86694,0777,PEDIATRIC SPORTS MEDICINE SPECIALIST,PHYSICAL MEDICINE & REHABILITATION
708415,0135,PHYSICIANS ASSISTANT,OTHER NON-PHYSICIAN PROVIDER
8335,0045,DIALYSIS FACILITY,DIALYSIS FACILITY
23150,5321,PEDIATRIC NURSE PRACTITIONER,REGISTERED NURSE - PRACTITIONER
3852,1483,MEDICAL GENETICIST,GENETICS
136,2163,PSYCHIATRIST/NEUROLOGIST,PSYCHIATRY
99,3159,PEDIATRIC NUTRITION,NUTRITIONIST
427,2361,"NURSE PRACTITIONER, CLINICAL SPECIALIST IN MENTAL",REGISTERED NURSE - PSYCHIATRIC
1470,2043,"NURSE PRACTITIONER, CLINICAL SPECIALIST IN MENTAL",REGISTERED NURSE - PSYCHIATRIC
32,1500,EXTENDED CARE FACILITY,EXTENDED CARE FACILITIES
82,3629,PEDIATRIC OCCUPATIONAL THERAPY,OCCUPATIONAL THERAPY PROVIDER
583,2547,AUDIOLOGIST,AUDIOLOGIST
1135,2437,MARRIAGE AND FAMILY THERAPIST,MENTAL HEALTH PROFESSIONAL
5,2016,GENERAL DENTIST,DENTIST
133,4216,OCCUPATIONAL THERAPIST,OCCUPATIONAL THERAPY PROVIDER
19,7030,UNKNOWN PROVIDER TYPE,UNKNOWN
74859351,0004,HOSPITAL NON-PAR OUT OF AREA HOSPITAL,GENERAL ACUTE-CARE HOSPITAL
22754412,0895,DIAGNOSTIC RADIOLOGIST,RADIOLOGY
3561675,0403,CARDIAC ELECTROPHYSIOLOGIST,CARDIOLOGY
20417407,5298,HOME HEALTH AGENCY,HOME HEALTH AGENCY
36060327,0556,HEMATOLOGIST/ONCOLOGIST,HEMATOLOGY & ONCOLOGY
100457,5791,PHLEBOLOGY,OTHER PHYSICIAN SPECIALTY
316567,1590,AUDIOLOGY/HEARING CENTER,AMBULATORY SURGERY CENTERS
24889,1024,PLASTIC SURGEON - HEAD & NECK,PLASTIC & RECONSTRUCTIVE SURGERY
22062,1342,DURABLE MEDICAL EQUIPMENT,MEDICAL SUPPLY HOUSE
6713,3346,IMMUNOLOGIST,ALLERGY & IMMUNOLOGY
8010,1128,ALCOHOL AND DRUG ABUSE COUNSELOR,ADDICTION MEDICINE SPECIALIST
6354,5588,GENETIC COUNSELOR,GENETICS
10041,0835,UNDERSEAS MEDICINE SPECIALIST,PREVENTIVE MEDICINE
200,1042,DRUG AND ALCOHOL REHABILITATION CENTER,MENTAL HEALTH/CHEMICAL DEPENDENCY FACILITIES
19174,1454,MARRIAGE AND FAMILY THERAPIST,MENTAL HEALTH PROFESSIONAL
3071,2524,UNKNOWN NON-PHYSICIAN PROVIDER,OTHER NON-PHYSICIAN PROVIDER
2115,1680,ALCOHOL AND DRUG ABUSE COUNSELOR,ADDICTION MEDICINE SPECIALIST
84,5749,HOSPITALIST,OTHER PHYSICIAN SPECIALTY
30,2350,OPTOMETRIST,OPTICIAN/OPTOMETRIST
